Sherlock Jr.:	 94, 95
All the Boys Love Mandy Lane:	 41, 31
Lovelace:	 53, 36
Man of Tai Chi:	 71, 50
Only God Forgives:	 40, 37
Byzantium:	 64, 51
The Look of Love:	 53, 35
I Give It a Year:	 53, 38
The Conjuring:	 86, 83
The Canyons:	 22, 15
Ain't Them Bodies Saints:	 78, 61
Frances Ha:	 92, 77
Before Midnight:	 98, 82
Closed Circuit:	 43, 31
Insidious: Chapter 2:	 39, 57
Crystal Fairy:	 82, 50
Kevin Hart: Let Me Explain:	 61, 72
Blackfish:	 98, 90
Blue Caprice:	 84, 51
Dirty Wars:	 84, 74
Inequality For All:	 90, 88
Europa Report:	 81, 57
Night Train To Lisbon:	 44, 59
Drinking Buddies:	 83, 49
Ip Man: The Final Fight:	 67, 55
As Cool As I Am:	 14, 25
Bridegroom:	 82, 86
CBGB:	 10, 42
As I Lay Dying:	 40, 36
Springsteen And I:	 88, 78
Sample This:	 93, 64
Ninja: Shadow of a Tear:	 100, 42
Mr. Nobody:	 67, 75
Odd Thomas:	 36, 65
Knights of Badassdom:	 64, 37
Chinese Zodiac:	 38, 45
Anchorman 2: The Legend Continues:	 75, 52
Sunlight Jr.:	 63, 33
All Stars:	 56, 62
The Summit:	 61, 62
Welcome to the Jungle:	 22, 20
The Spectacular Now:	 92, 76
Charlie Countryman:	 29, 49
Blue Jasmine:	 91, 77
Big Sur:	 43, 38
Concussion:	 73, 48
Cutie And The Boxer:	 95, 75
Narco Cultura:	 88, 77
The Fifth Estate:	 37, 36
Haunter:	 53, 42
I'm In Love With A Church Girl:	 6, 64
The Nut Job:	 11, 43
A Case of You:	 47, 26
G.B.F.:	 80, 55
Khumba:	 44, 43
Bullet:	 11, 13
Contracted:	 53, 29
Reasonable Doubt:	 13, 31
The Armstrong Lie:	 82, 76
A Perfect Man:	 20, 24
The Bag Man:	 9, 22
The Pirate Fairy:	 80, 70
Lizzie Borden Took an Ax:	 43, 34
Better Living Through Chemistry:	 22, 38
Caught:	 100, 77
Gambit:	 17, 23
Burn:	 100, 91
Wrinkles:	 96, 80
Ernest & Célestine:	 97, 88
Haunt:	 38, 30
The Best Offer:	 55, 76
Alan Partridge:	 87, 73
Vampire Academy:	 17, 55
Cheap Thrills:	 88, 69
The Short Game:	 83, 85
The Last Days:	 89, 47
Elaine Stritch: Shoot Me:	 98, 79
Adult World:	 53, 38
Raze:	 45, 30
The Trials Of Muhammad Ali:	 89, 85
The Missing Picture:	 99, 76
Omar:	 89, 83
Stranger by the Lake:	 93, 65
Her:	 95, 82
The Face of Love:	 42, 32
Chennai Express:	 54, 52
Generation Iron:	 80, 78
Devil's Knot:	 23, 39
Under the Skin:	 85, 55
Enemy:	 72, 63
10 Rules For Sleeping Around:	 0, 12
Son Of God:	 21, 73
Rob the Mob:	 84, 56
Perfect Sisters:	 27, 39
Kid Cannabis:	 71, 64
American Jesus:	 57, 33
Teen Wolf:	 47, 52
Joker 3D:	 0, 20
Hellion:	 59, 46
The Railway Man:	 66, 68
The Rover:	 66, 51
A Teacher:	 35, 22
The Last of the Unjust:	 96, 77
Locke:	 90, 72
The Grand Seduction:	 60, 66
Supermensch: The Legend of Shep Gordon:	 78, 83
Finding Vivian Maier:	 95, 89
Hateship Loveship:	 51, 36
Oculus:	 73, 53
Blood Glacier:	 42, 28
Antboy:	 43, 36
Lucky Them:	 76, 59
A Promise:	 13, 23
Around The Block:	 63, 39
The Den:	 78, 52
Project Wild Thing:	 80, 71
The Galapagos Affair: Satan Came To Eden:	 82, 63
Whitey: United States of America v. James J. Bulger:	 78, 69
EDC 2013: Under the Electric Sky:	 57, 66
The Signal:	 60, 38
Obvious Child:	 90, 72
I Am Happiness on Earth:	 17, 19
Fed Up:	 80, 84
Leave The World Behind:	 71, 82
Korengal:	 86, 65
Rage:	 12, 28
4 Minute Mile:	 29, 45
Sharknado 2: The Second One:	 59, 31
The Hero of Color City:	 25, 49
As Above, So Below:	 25, 39
Mr. Pip:	 44, 62
Bound By Flesh:	 94, 53
A Coffee in Berlin:	 74, 74
Wish I Was Here:	 46, 59
The Christmas Candle:	 21, 75
Begin Again:	 82, 81
Rhymes For Young Ghouls:	 80, 76
Premature:	 50, 39
The Giver:	 35, 55
Autumn Blood:	 20, 35
The Scribbler:	 50, 37
Frontera:	 52, 59
Life After Beth:	 43, 30
Happy Christmas:	 75, 37
Drive Hard:	 8, 12
Iceman:	 17, 27
Good People:	 10, 22
The November Man:	 35, 46
Plastic:	 17, 33
About Alex:	 44, 43
Summer of Blood:	 55, 38
Behaving Badly:	 0, 29
Autómata:	 29, 30
Housebound:	 97, 73
Fort Bliss:	 80, 68
Reclaim:	 0, 27
Falcon Rising:	 43, 42
Field of Lost Shoes:	 40, 51
Catch Hell:	 0, 32
I Am Ali:	 61, 59
The Year Dolly Parton Was My Mom:	 40, 33
Aarakshan:	 67, 50
Middle of Nowhere:	 88, 64
Jimi: All Is by My Side:	 66, 37
The Two Faces of January:	 82, 48
Revenge of the Green Dragons:	 13, 30
Keep On Keepin' On:	 98, 88
Not Another Happy Ending:	 31, 36
Life's a Breeze:	 50, 41
Stonehearst Asylum:	 53, 49
Missionary:	 45, 24
Open Windows:	 38, 20
Krrish 3:	 73, 51
The Damned:	 9, 19
Plot for Peace:	 73, 82
The Longest Week:	 11, 21
Before I Go to Sleep:	 36, 40
1,000 Times Good Night:	 70, 65
Frank:	 92, 72
White Bird in a Blizzard:	 55, 43
The Overnighters:	 99, 85
Dinosaur 13:	 72, 76
Dead Snow 2: Red vs. Dead (Død snø 2):	 83, 68
Tusk:	 43, 36
Boyhood:	 97, 80
Starry Eyes:	 76, 55
Honeymoon:	 73, 44
The Canal:	 76, 49
Hector And The Search For Happiness:	 37, 61
At The Devil's Door:	 35, 21
The Houses October Built:	 50, 29
A Little Game:	 40, 44
The Strange Affair of Uncle Harry (Guilty of Murder?):	 80, 64
In Your Eyes:	 61, 68
Code Black:	 89, 80
Terms And Conditions May Apply:	 83, 72
Rosewater:	 76, 68
Pioneer:	 53, 32
Jake Squared:	 14, 39
One Small Hitch:	 17, 58
Life Itself:	 97, 88
Laggies:	 66, 49
The Imitation Game:	 90, 91
Three Night Stand:	 60, 30
The Way He Looks:	 92, 89
Life Partners:	 64, 46
Point and Shoot:	 74, 71
Preservation:	 58, 23
The Captive:	 30, 33
The Homesman:	 81, 52
Come Back To Me:	 17, 36
Force Majeure:	 93, 75
Song Of The Sea:	 99, 92
Nightcrawler:	 95, 85
V/H/S: Viral:	 37, 14
Animal:	 50, 33
TinkerBell and the Legend of the NeverBeast:	 74, 76
The Humbling:	 50, 28
Son of a Gun:	 63, 64
Late Phases:	 67, 43
Outcast:	 5, 21
Meet The Mormons:	 18, 89
Vice:	 4, 15
Out Of The Dark:	 24, 23
Big Eyes:	 72, 68
Days of Grace:	 65, 64
A Few Best Men:	 15, 36
The Immigrant:	 85, 60
Enter the Dangerous Mind:	 23, 29
The Devil's Violinist:	 31, 45
The Loft:	 15, 37
These Final Hours:	 82, 64
Jinn:	 18, 32
Paddington:	 98, 80
The Voices:	 74, 56
Last Days in Vietnam:	 95, 84
The Babadook:	 98, 72
Happy Valley:	 89, 70
Killers:	 86, 64
A Most Violent Year:	 89, 69
The Cobbler:	 9, 36
You're Not You:	 44, 70
Zombeavers:	 69, 31
Supremacy:	 20, 84
Champs:	 53, 95
Girlhood:	 96, 73
Everly:	 30, 29
Miss Julie:	 50, 24
The Last 5 Years:	 59, 57
Cake:	 48, 44
[REC] 4: Apocalypse:	 75, 34
My Mistress:	 33, 33
The Seven Five:	 85, 85
Lovesick:	 36, 21
My Life Directed By Nicolas Winding Refn:	 59, 40
Tracers:	 26, 37
The Lovers:	 8, 19
The Wrecking Crew:	 94, 84
Pound Of Flesh:	 17, 19
Serena:	 16, 23
The Gunman:	 17, 31
Gore Vidal: The United States Of Amnesia:	 80, 84
Chappie:	 32, 56
Welcome to Me:	 73, 46
Cut Bank:	 34, 29
The Loft:	 15, 37
Rich Hill:	 85, 81
The Lazarus Effect:	 15, 23
Born To Fly:	 90, 71
24 Days:	 79, 58
Ballet 422:	 86, 62
Clouds of Sils Maria:	 90, 64
It Follows:	 97, 66
White God:	 88, 71
Ex Machina:	 92, 86
Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau:	 100, 87
While We're Young:	 84, 51
